A,B,C,D,E
0.696940153115992,0.5984781816740024,0.20743183236466592,0.8000636276742433,0.39630778228490793
0.6971478643928511,0.5986051624399344,0.2074064709360765,0.8000345617144634,0.396359491785622
0.6972844181624135,0.597335655645705,0.20635704371579572,0.7997294428029951,0.39588055785587967
0.697418611183393,0.5987029540950441,0.20743662683419473,0.7999687726540041,0.396388620115233
0.7066711170534480,0.601958554332989,0.18975510589591700,0.8081413735148520,0.39587481496082100
0.7059520274350690,0.6036029487869640,0.19006248212677700,0.807067541601367,0.3955763110021990
0.7044965678585420,0.5680143458908380,0.2795877755631120,0.7771437349951940,0.3857221200196250
0.6833074803826810,0.585436424550123,0.22117480758469700,0.7992222470845990,0.3955039890001100
0.6833074803826810,0.6087758771699670,0.23914431274612000,0.7308896072880810,0.3855570403374140
0.697333971570055,0.5972237844935600,0.20629696305175400,0.7996209701346550,0.39589259330475500
